Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100504	1	OK	0.6982421	-0.0415151	-0.7145527	-0.0122008	-121.142	-98.555	-162.407	0.0135187	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100504	1	OK	0.5061485	0.4592445	-0.5311924	0.5007423	-113.403	-122.835	-161.983	0.0592394	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100512	1	OK	0.6982367	-0.0415320	-0.7145571	-0.0121992	-121.140	-98.556	-162.409	0.0132814	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100512	1	OK	0.5061318	0.4592931	-0.5311155	0.5007961	-113.403	-122.839	-161.979	0.0599950	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100520	1	OK	0.6982416	-0.0415137	-0.7145534	-0.0121974	-121.140	-98.555	-162.409	0.0135266	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100520	1	OK	0.5061300	0.4592871	-0.5311722	0.5007433	-113.400	-122.833	-161.975	0.0596388	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100528	1	OK	0.6982537	-0.0415093	-0.7145417	-0.0122006	-121.142	-98.554	-162.409	0.0133134	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100528	1	OK	0.5061530	0.4592545	-0.5312038	0.5007164	-113.398	-122.834	-161.976	0.0594777	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100536	1	OK	0.6982435	-0.0415221	-0.7145505	-0.0122228	-121.141	-98.554	-162.408	0.0134671	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100536	1	OK	0.5061400	0.4592434	-0.5312327	0.5007091	-113.397	-122.832	-161.977	0.0592609	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100544	1	OK	0.6982209	-0.0415518	-0.7145710	-0.0122223	-121.139	-98.556	-162.407	0.0132003	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100544	1	OK	0.5061275	0.4592467	-0.5312121	0.5007405	-113.398	-122.835	-161.981	0.0594199	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100552	1	OK	0.6982241	-0.0415417	-0.7145682	-0.0122338	-121.140	-98.554	-162.408	0.0133875	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100552	1	OK	0.5061398	0.4592597	-0.5311409	0.5007918	-113.399	-122.841	-161.979	0.0601948	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100560	1	OK	0.6982199	-0.0415352	-0.7145729	-0.0122211	-121.139	-98.554	-162.405	0.0133853	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100560	1	OK	0.5061350	0.4592845	-0.5311264	0.5007893	-113.399	-122.840	-161.974	0.0602605	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100568	1	OK	0.6982594	-0.0415466	-0.7145338	-0.0122088	-121.145	-98.555	-162.407	0.0130557	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100568	1	OK	0.5061405	0.4592878	-0.5311522	0.5007533	-113.399	-122.837	-161.975	0.0601855	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	100576	1	OK	0.6982465	-0.0415745	-0.7145446	-0.0122181	-121.142	-98.558	-162.408	0.0130701	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	100576	1	OK	0.5061420	0.4593014	-0.5311460	0.5007459	-113.400	-122.835	-161.973	0.0603193	0
