Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9520	1	OK	0.6951911	-0.5923508	-0.3988535	-0.0821329	-86.011	72.881	-247.415	0.1318074	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9520	1	OK	0.8990347	0.0658755	-0.3593279	0.2414136	-95.229	56.766	-230.247	0.0651710	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9528	1	OK	0.6951696	-0.5923527	-0.3988920	-0.0821136	-86.006	72.873	-247.411	0.1311893	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9528	1	OK	0.8990502	0.0659081	-0.3592816	0.2414159	-95.235	56.768	-230.248	0.0653342	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9536	1	OK	0.6951130	-0.5923961	-0.3989234	-0.0821279	-86.002	72.872	-247.413	0.1317649	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9536	1	OK	0.8990552	0.0658700	-0.3592805	0.2414093	-95.236	56.765	-230.249	0.0651299	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9544	1	OK	0.6950493	-0.5924532	-0.3989435	-0.0821561	-85.999	72.871	-247.414	0.1325835	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9544	1	OK	0.8990635	0.0658561	-0.3592553	0.2414197	-95.238	56.762	-230.250	0.0645402	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9552	1	OK	0.6950810	-0.5924353	-0.3989209	-0.0821276	-86.003	72.870	-247.415	0.1318580	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9552	1	OK	0.8990627	0.0658472	-0.3592494	0.2414338	-95.240	56.759	-230.249	0.0644904	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9560	1	OK	0.6950399	-0.5924827	-0.3989282	-0.0820979	-86.007	72.861	-247.417	0.1318452	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9560	1	OK	0.8990470	0.0659226	-0.3592437	0.2414802	-95.236	56.759	-230.248	0.0639567	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9568	1	OK	0.6950613	-0.5924547	-0.3989284	-0.0821184	-86.004	72.863	-247.421	0.1319790	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9568	1	OK	0.8990529	0.0658382	-0.3592918	0.2414095	-95.234	56.762	-230.249	0.0646370	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9576	1	OK	0.6950995	-0.5924214	-0.3989107	-0.0821208	-86.010	72.869	-247.427	0.1324514	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9576	1	OK	0.8990545	0.0658716	-0.3592424	0.2414680	-95.238	56.755	-230.246	0.0637532	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9584	1	OK	0.6951300	-0.5923800	-0.3989170	-0.0821309	-86.010	72.874	-247.433	0.1325770	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9584	1	OK	0.8990571	0.0658710	-0.3592430	0.2414575	-95.239	56.753	-230.243	0.0640578	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9592	1	OK	0.6951326	-0.5923631	-0.3989373	-0.0821320	-86.006	72.872	-247.431	0.1324611	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9592	1	OK	0.8990453	0.0658424	-0.3593111	0.2414080	-95.233	56.759	-230.244	0.0648281	0
