Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844592	1	OK	0.5259456	-0.5254506	-0.4681876	-0.4775806	168.758	-92.035	-311.664	0.2360977	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844592	1	OK	0.7200958	-0.0206487	-0.6935586	-0.0034766	147.668	-101.104	-310.010	0.2277131	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844592	1	OK	0.0060740	-0.0193605	-0.9997941	-0.0001913	162.072	-102.704	-331.033	0.0611972	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844600	1	OK	0.5257481	-0.5262091	-0.4677196	-0.4774215	168.648	-92.064	-311.664	0.2449280	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844600	1	OK	0.7202386	-0.0205732	-0.6934131	-0.0033798	147.622	-101.111	-310.003	0.2264830	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844600	1	OK	0.0060765	-0.0193964	-0.9997934	-0.0002435	162.060	-102.720	-331.086	0.0618167	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844608	1	OK	0.5255663	-0.5266707	-0.4674510	-0.4773758	168.618	-92.093	-311.684	0.2531925	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844608	1	OK	0.7201767	-0.0205594	-0.6934781	-0.0033139	147.642	-101.124	-310.003	0.2261921	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844608	1	OK	0.0062131	-0.0194946	-0.9997906	-0.0004329	162.021	-102.754	-331.052	0.0663692	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844616	1	OK	0.5257180	-0.5256656	-0.4681637	-0.4776181	168.742	-92.061	-311.634	0.2366799	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844616	1	OK	0.7201082	-0.0204834	-0.6935517	-0.0032566	147.660	-101.121	-309.994	0.2263699	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844616	1	OK	0.0062132	-0.0194204	-0.9997921	-0.0000429	162.003	-102.777	-331.013	0.0557682	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844624	1	OK	0.5259709	-0.5247525	-0.4687073	-0.4778105	168.855	-92.014	-311.624	0.2250253	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844624	1	OK	0.7200397	-0.0201869	-0.6936324	-0.0030666	147.677	-101.096	-310.007	0.2239702	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844624	1	OK	0.0061479	-0.0194365	-0.9997922	-0.0001530	162.028	-102.793	-331.018	0.0613483	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844632	1	OK	0.5260956	-0.5247476	-0.4686219	-0.4777624	168.820	-91.996	-311.626	0.2244544	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844632	1	OK	0.7202636	-0.0200636	-0.6934042	-0.0029072	147.616	-101.102	-310.012	0.2238364	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844632	1	OK	0.0062084	-0.0195003	-0.9997905	-0.0003171	162.024	-102.823	-331.043	0.0659356	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844640	1	OK	0.5260433	-0.5249074	-0.4685549	-0.4777102	168.767	-92.008	-311.607	0.2222822	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844640	1	OK	0.7202649	-0.0201631	-0.6934003	-0.0028245	147.605	-101.129	-310.010	0.2208491	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844640	1	OK	0.0062599	-0.0195124	-0.9997900	-0.0001901	162.005	-102.838	-331.041	0.0644566	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844648	1	OK	0.5262986	-0.5242058	-0.4689844	-0.4777779	168.838	-91.988	-311.583	0.2132871	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844648	1	OK	0.7203041	-0.0201879	-0.6933596	-0.0026201	147.588	-101.171	-309.996	0.2184090	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844648	1	OK	0.0061997	-0.0195005	-0.9997905	-0.0004351	162.032	-102.811	-331.049	0.0735890	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844656	1	OK	0.5263443	-0.5244494	-0.4687705	-0.4776702	168.794	-91.982	-311.603	0.2176536	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844656	1	OK	0.7204418	-0.0201072	-0.6932194	-0.0024811	147.544	-101.187	-309.992	0.2193011	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844656	1	OK	0.0061463	-0.0194258	-0.9997923	-0.0003975	162.057	-102.803	-331.080	0.0701404	0
3	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	2844664	1	OK	0.5263316	-0.5247979	-0.4684692	-0.4775969	168.707	-91.986	-311.599	0.2179564	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	2844664	1	OK	0.7205642	-0.0199581	-0.6930970	-0.0023162	147.510	-101.190	-309.997	0.2165015	0	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	2844664	1	OK	0.0061455	-0.0194559	-0.9997917	-0.0003985	162.048	-102.802	-331.064	0.0719117	0
