Tools	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521456	1	OK	0.2350207	-0.4832226	-0.8050176	0.2514118	-141.648	-69.042	-406.574	0.1439790	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521464	1	OK	0.2349247	-0.4832976	-0.8049941	0.2514324	-141.611	-69.068	-406.538	0.1518189	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521472	1	OK	0.2348626	-0.4832817	-0.8049401	0.2516936	-141.671	-69.178	-406.609	0.1544043	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521480	1	OK	0.2349038	-0.4833495	-0.8048652	0.2517648	-141.766	-69.232	-406.710	0.1435217	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521488	1	OK	0.2348276	-0.4833627	-0.8048754	0.2517780	-141.736	-69.239	-406.791	0.1426949	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521504	1	OK	0.2344994	-0.4835745	-0.8049631	0.2513963	-141.438	-69.203	-406.768	0.1376399	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521512	1	OK	0.2343154	-0.4835223	-0.8050696	0.2513271	-141.353	-69.176	-406.848	0.1425245	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521528	1	OK	0.2338870	-0.4835297	-0.8053589	0.2507846	-141.015	-69.032	-407.012	0.1370105	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521536	1	OK	0.2335964	-0.4836181	-0.8055122	0.2503922	-140.792	-68.938	-407.097	0.1309369	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521544	1	OK	0.2333131	-0.4835699	-0.8057119	0.2501071	-140.571	-68.873	-407.222	0.1266424	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521552	1	OK	0.2330360	-0.4836347	-0.8059373	0.2495132	-140.278	-68.727	-407.245	0.1187373	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521560	1	OK	0.2327832	-0.4835760	-0.8061374	0.2492163	-140.074	-68.650	-407.349	0.1253452	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521568	1	OK	0.2325513	-0.4835786	-0.8063140	0.2488563	-139.897	-68.577	-407.406	0.1223926	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521576	1	OK	0.2324716	-0.4835890	-0.8064179	0.2485736	-139.737	-68.462	-407.578	0.1201986	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521584	1	OK	0.2322122	-0.4835811	-0.8066293	0.2481452	-139.488	-68.334	-407.638	0.1157918	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521592	1	OK	0.2319380	-0.4836075	-0.8067701	0.2478923	-139.298	-68.293	-407.716	0.1122906	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521600	1	OK	0.2316956	-0.4836140	-0.8069220	0.2476117	-139.207	-68.266	-407.867	0.1193527	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521608	1	OK	0.2314635	-0.4836164	-0.8070448	0.2474239	-138.999	-68.201	-407.932	0.1234151	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521616	1	OK	0.2311903	-0.4836664	-0.8072184	0.2470148	-138.798	-68.125	-408.032	0.1260963	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521624	1	OK	0.2310113	-0.4836886	-0.8073510	0.2467051	-138.607	-68.020	-408.044	0.1258380	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521632	1	OK	0.2308299	-0.4836911	-0.8074792	0.2464503	-138.444	-67.921	-408.212	0.1272056	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521640	1	OK	0.2305996	-0.4837653	-0.8076574	0.2459360	-138.221	-67.787	-408.270	0.1217354	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521648	1	OK	0.2304158	-0.4837538	-0.8078042	0.2456484	-138.030	-67.668	-408.384	0.1284840	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521656	1	OK	0.2301658	-0.4838228	-0.8079795	0.2451701	-137.867	-67.588	-408.486	0.1233695	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	521664	1	OK	0.2300863	-0.4838139	-0.8080800	0.2449308	-137.747	-67.500	-408.607	0.1207481	0
