Tools	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554496	1	OK	0.1672920	-0.4846973	-0.8452229	0.1505991	-92.472	-52.583	-431.343	0.1048138	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554504	1	OK	0.1636814	-0.4849453	-0.8464373	0.1469026	-89.854	-51.325	-432.292	0.1652825	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554512	1	OK	0.1607426	-0.4865015	-0.8470665	0.1412671	-87.056	-49.927	-432.978	0.0824925	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554520	1	OK	0.1570575	-0.4875030	-0.8479649	0.1364894	-84.441	-48.867	-434.259	0.1005623	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554528	1	OK	0.1541050	-0.4886721	-0.8483272	0.1333874	-81.599	-47.857	-435.149	0.0972878	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554536	1	OK	0.1506171	-0.4890613	-0.8493071	0.1296571	-78.424	-46.405	-435.798	0.1028615	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554544	1	OK	0.1468696	-0.4894790	-0.8506737	0.1232634	-75.106	-44.362	-436.275	0.0999920	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554552	1	OK	0.1437123	-0.4891666	-0.8521505	0.1179084	-72.129	-42.910	-436.847	0.0878734	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554560	1	OK	0.1403032	-0.4890649	-0.8537385	0.1107297	-68.733	-40.828	-437.770	0.0391432	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554568	1	OK	0.1364499	-0.4888904	-0.8551824	0.1050268	-65.387	-38.782	-439.009	0.0858635	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554576	1	OK	0.1319973	-0.4886940	-0.8567628	0.0985510	-61.269	-36.816	-439.402	0.0661479	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554584	1	OK	0.1274298	-0.4885209	-0.8583222	0.0916078	-57.534	-34.987	-440.553	0.0665197	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554592	1	OK	0.1228459	-0.4885792	-0.8598246	0.0830711	-53.355	-32.525	-441.222	0.0394397	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554600	1	OK	0.1174668	-0.4881157	-0.8614769	0.0761722	-48.991	-30.410	-442.050	0.0377657	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554608	1	OK	0.1131382	-0.4880105	-0.8626594	0.0697437	-44.731	-28.386	-442.870	0.0401707	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554616	1	OK	0.1096567	-0.4872204	-0.8641753	0.0615850	-40.977	-25.469	-443.348	0.0354169	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554624	1	OK	0.1051694	-0.4869465	-0.8653540	0.0546353	-36.488	-23.110	-443.975	0.0838268	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554632	1	OK	0.1007434	-0.4872262	-0.8661919	0.0466148	-32.300	-20.488	-444.564	0.0420771	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554640	1	OK	0.0965443	-0.4871125	-0.8670919	0.0393976	-28.562	-17.956	-445.602	0.0734592	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554648	1	OK	0.0924376	-0.4871170	-0.8679182	0.0298391	-24.290	-14.964	-446.008	0.0411056	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554656	1	OK	0.0897910	-0.4870379	-0.8684891	0.0214073	-19.858	-11.685	-445.624	0.0587928	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554664	1	OK	0.0843908	-0.4867484	-0.8693434	0.0140084	-15.459	-9.561	-445.818	0.0875412	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554672	1	OK	0.0802057	-0.4861991	-0.8701373	0.0062147	-10.835	-6.714	-446.190	0.0792381	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554680	1	OK	0.0759542	-0.4861038	-0.8705860	-0.0037588	-7.002	-3.913	-446.426	0.0429478	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554688	1	OK	0.0726281	-0.4851928	-0.8713148	-0.0111161	-2.963	-1.071	-446.777	0.0201502	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554696	1	OK	0.0687069	-0.4846541	-0.8717722	-0.0200749	1.573	2.284	-446.613	0.0392435	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554704	1	OK	0.0656217	-0.4836508	-0.8723414	-0.0282155	5.602	5.252	-446.395	0.0635344	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554712	1	OK	0.0612834	-0.4834950	-0.8725211	-0.0344072	9.529	7.398	-446.614	0.0731751	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554720	1	OK	0.0566952	-0.4823116	-0.8730727	-0.0436499	13.500	10.139	-446.280	0.0331279	0
