Tools	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540312	1	OK	0.2352973	-0.4883624	-0.8011088	0.2536967	-150.949	-75.890	-405.848	0.0939488	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540328	1	OK	0.2350593	-0.4882488	-0.8012766	0.2536060	-150.753	-75.856	-405.935	0.1023481	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540336	1	OK	0.2347975	-0.4882306	-0.8013634	0.2536094	-150.708	-75.886	-406.041	0.1057132	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540344	1	OK	0.2345610	-0.4882978	-0.8015274	0.2531804	-150.474	-75.762	-406.025	0.1104575	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540352	1	OK	0.2343511	-0.4883381	-0.8017130	0.2527089	-150.219	-75.625	-406.148	0.1057106	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540360	1	OK	0.2340701	-0.4883780	-0.8019256	0.2522169	-150.000	-75.478	-406.299	0.1180756	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540368	1	OK	0.2337332	-0.4883684	-0.8021498	0.2518350	-149.706	-75.365	-406.447	0.1241935	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540376	1	OK	0.2334553	-0.4883943	-0.8024119	0.2512066	-149.422	-75.148	-406.633	0.1303830	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540384	1	OK	0.2331275	-0.4884664	-0.8026541	0.2505965	-149.117	-74.975	-406.874	0.1302905	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540392	1	OK	0.2329478	-0.4884059	-0.8029128	0.2500520	-148.890	-74.799	-407.061	0.1263343	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540400	1	OK	0.2325657	-0.4884482	-0.8032452	0.2492563	-148.508	-74.532	-407.182	0.1338443	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540408	1	OK	0.2323288	-0.4884207	-0.8034876	0.2487491	-148.242	-74.379	-407.402	0.1308746	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540416	1	OK	0.2319743	-0.4884595	-0.8038045	0.2479790	-147.907	-74.195	-407.646	0.1273711	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540424	1	OK	0.2316596	-0.4884664	-0.8040789	0.2473693	-147.637	-74.031	-407.996	0.1289992	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540432	1	OK	0.2311094	-0.4885353	-0.8044585	0.2465122	-147.268	-73.813	-408.202	0.1415569	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540440	1	OK	0.2307940	-0.4886036	-0.8047203	0.2458169	-146.907	-73.607	-408.426	0.1320436	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540448	1	OK	0.2303082	-0.4888002	-0.8051212	0.2445656	-146.436	-73.271	-408.590	0.1269671	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540456	1	OK	0.2299613	-0.4889026	-0.8053969	0.2437784	-146.074	-73.111	-408.843	0.1184905	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540464	1	OK	0.2293765	-0.4889918	-0.8057898	0.2428502	-145.627	-72.883	-409.117	0.1232845	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	540472	1	OK	0.2287904	-0.4891342	-0.8061883	0.2417914	-145.098	-72.603	-409.293	0.1310448	0
