Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59379	1	OK	0.7970840	-0.1645886	-0.5030159	-0.2907623	-97.804	141.011	-900.347	0.3225023	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59382	1	OK	0.7969525	-0.1648683	-0.5032862	-0.2904964	-97.806	141.037	-900.347	0.3096659	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59385	1	OK	0.7972445	-0.1647618	-0.5028259	-0.2905528	-97.790	141.023	-900.364	0.3219783	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59388	1	OK	0.7970463	-0.1649504	-0.5031856	-0.2903667	-97.795	141.034	-900.326	0.3141944	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59391	1	OK	0.7969707	-0.1650286	-0.5033172	-0.2903016	-97.802	141.040	-900.319	0.3162273	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59394	1	OK	0.7972603	-0.1649529	-0.5028231	-0.2904058	-97.784	141.027	-900.351	0.3282073	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59397	1	OK	0.7972482	-0.1649505	-0.5028326	-0.2904239	-97.789	141.032	-900.365	0.3313032	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59400	1	OK	0.7969578	-0.1650267	-0.5033535	-0.2902752	-97.800	141.042	-900.318	0.3075859	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59403	1	OK	0.7971595	-0.1652531	-0.5030656	-0.2900917	-97.782	141.048	-900.328	0.3252823	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59406	1	OK	0.7969692	-0.1650862	-0.5033099	-0.2902856	-97.804	141.045	-900.335	0.3120138	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59409	1	OK	0.7968491	-0.1649990	-0.5035173	-0.2903055	-97.807	141.036	-900.291	0.3028594	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59412	1	OK	0.7971184	-0.1650724	-0.5030893	-0.2902664	-97.792	141.036	-900.329	0.3157682	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59415	1	OK	0.7971760	-0.1647923	-0.5029128	-0.2905728	-97.796	141.018	-900.346	0.3288983	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59418	1	OK	0.7970396	-0.1648523	-0.5031424	-0.2905157	-97.813	141.028	-900.337	0.3121127	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59421	1	OK	0.7971860	-0.1649435	-0.5029237	-0.2904408	-97.799	141.031	-900.357	0.3240074	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59424	1	OK	0.7969021	-0.1651169	-0.5034042	-0.2902889	-97.810	141.039	-900.290	0.3085939	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59427	1	OK	0.7968904	-0.1648878	-0.5034114	-0.2904387	-97.811	141.030	-900.294	0.3043413	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	59430	1	OK	0.7968720	-0.1649641	-0.5034684	-0.2903470	-97.809	141.035	-900.290	0.3028876	0
