Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161624	1	OK	0.5740904	0.6873162	0.3792145	-0.2328369	-4.154	-187.064	-431.113	0.1977853	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161632	1	OK	0.5737551	0.6867984	0.3800867	-0.2337675	-4.267	-187.125	-431.174	0.1999191	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161640	1	OK	0.5738021	0.6870168	0.3798185	-0.2334459	-4.265	-187.054	-431.107	0.2016375	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161648	1	OK	0.5737338	0.6869736	0.3799355	-0.2335503	-4.237	-187.063	-431.133	0.1962801	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161656	1	OK	0.5737001	0.6865950	0.3802486	-0.2342360	-4.331	-187.198	-431.082	0.2073746	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161664	1	OK	0.5738176	0.6867526	0.3800762	-0.2337653	-4.193	-187.149	-431.087	0.1895706	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161672	1	OK	0.5737105	0.6865294	0.3802491	-0.2344021	-4.346	-187.223	-431.052	0.1981805	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161680	1	OK	0.5736513	0.6864749	0.3804214	-0.2344268	-4.306	-187.223	-431.079	0.1885706	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161688	1	OK	0.5738327	0.6865534	0.3800754	-0.2343141	-4.316	-187.272	-431.032	0.1826146	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161696	1	OK	0.5740359	0.6865969	0.3798693	-0.2340231	-4.215	-187.298	-431.048	0.1757924	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161704	1	OK	0.5739480	0.6863975	0.3802371	-0.2342262	-4.159	-187.289	-430.931	0.1869081	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161712	1	OK	0.5743719	0.6868807	0.3793050	-0.2332799	-3.987	-187.266	-430.866	0.1693929	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161720	1	OK	0.5746485	0.6870117	0.3788556	-0.2329430	-3.961	-187.335	-430.901	0.1731544	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161728	1	OK	0.5748106	0.6867276	0.3789219	-0.2332727	-4.060	-187.460	-430.916	0.1852469	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161736	1	OK	0.5749225	0.6869152	0.3786971	-0.2328091	-3.960	-187.430	-430.971	0.1789028	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161744	1	OK	0.5749095	0.6869799	0.3785514	-0.2328872	-4.024	-187.443	-430.983	0.1872416	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161752	1	OK	0.5752068	0.6871067	0.3781729	-0.2323935	-3.919	-187.517	-431.072	0.1776450	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161760	1	OK	0.5752057	0.6869190	0.3783425	-0.2326748	-3.897	-187.563	-431.021	0.1803628	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161768	1	OK	0.5749223	0.6867526	0.3788324	-0.2330693	-3.918	-187.517	-430.986	0.1632077	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161776	1	OK	0.5746952	0.6865753	0.3791496	-0.2336352	-4.064	-187.539	-430.993	0.1668480	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161784	1	OK	0.5747799	0.6866491	0.3788862	-0.2336372	-4.140	-187.567	-430.969	0.1621847	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161792	1	OK	0.5745706	0.6864238	0.3793479	-0.2340645	-4.242	-187.557	-431.042	0.1806457	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161800	1	OK	0.5744361	0.6864611	0.3793782	-0.2342362	-4.283	-187.524	-430.948	0.1653450	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161808	1	OK	0.5743366	0.6866850	0.3793056	-0.2339411	-4.203	-187.426	-430.871	0.1531609	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161816	1	OK	0.5742980	0.6864528	0.3795236	-0.2343634	-4.269	-187.483	-430.873	0.1557556	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161824	1	OK	0.5744741	0.6864383	0.3793684	-0.2342255	-4.260	-187.525	-430.868	0.1550454	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161832	1	OK	0.5744591	0.6865654	0.3792322	-0.2341104	-4.303	-187.482	-430.881	0.1569794	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161840	1	OK	0.5743234	0.6866368	0.3793356	-0.2340663	-4.292	-187.406	-430.830	0.1490459	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161848	1	OK	0.5745291	0.6868474	0.3789363	-0.2335899	-4.225	-187.407	-430.921	0.1628488	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161856	1	OK	0.5747940	0.6870635	0.3784844	-0.2330348	-4.135	-187.401	-430.868	0.1566307	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161864	1	OK	0.5747612	0.6873695	0.3782020	-0.2326714	-4.103	-187.326	-430.932	0.1626754	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161872	1	OK	0.5744102	0.6871621	0.3788287	-0.2331309	-4.091	-187.255	-430.868	0.1571500	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161880	1	OK	0.5742557	0.6871088	0.3790833	-0.2332548	-4.155	-187.228	-430.995	0.1736158	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161888	1	OK	0.5743072	0.6869553	0.3791023	-0.2335487	-4.242	-187.327	-431.032	0.1826438	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161896	1	OK	0.5743265	0.6871254	0.3788996	-0.2333298	-4.257	-187.279	-430.978	0.1880497	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	161904	1	OK	0.5743176	0.6870554	0.3790429	-0.2333254	-4.211	-187.295	-431.007	0.1928747	0
