Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39381	1	OK	0.9134754	-0.2675060	-0.2870692	-0.1076781	-69.954	106.476	-930.170	0.5117068	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39384	1	OK	0.9134404	-0.2673870	-0.2872289	-0.1078444	-69.958	106.466	-930.155	0.5080445	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39387	1	OK	0.9134427	-0.2674470	-0.2871907	-0.1077776	-69.955	106.466	-930.139	0.5094050	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39390	1	OK	0.9134216	-0.2673584	-0.2873183	-0.1078367	-69.957	106.462	-930.104	0.5054727	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39393	1	OK	0.9135828	-0.2670839	-0.2869751	-0.1080643	-69.953	106.444	-930.124	0.5067630	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39396	1	OK	0.9135530	-0.2672656	-0.2869442	-0.1079488	-69.959	106.455	-930.143	0.5116400	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39399	1	OK	0.9134851	-0.2672598	-0.2871539	-0.1079805	-69.958	106.454	-930.138	0.5156896	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39402	1	OK	0.9134525	-0.2673599	-0.2872311	-0.1078029	-69.951	106.465	-930.112	0.5138729	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39405	1	OK	0.9136281	-0.2672731	-0.2867377	-0.1078436	-69.956	106.461	-930.176	0.5046279	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39408	1	OK	0.9135123	-0.2673465	-0.2870355	-0.1078509	-69.949	106.460	-930.154	0.5071964	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39411	1	OK	0.9135530	-0.2672871	-0.2869479	-0.1078864	-69.958	106.460	-930.159	0.5134899	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39414	1	OK	0.9134834	-0.2673315	-0.2871313	-0.1078772	-69.956	106.467	-930.171	0.5206820	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39417	1	OK	0.9136200	-0.2673681	-0.2867010	-0.1077747	-69.947	106.461	-930.183	0.5157477	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39420	1	OK	0.9134993	-0.2673449	-0.2870863	-0.1078293	-69.956	106.462	-930.120	0.5085890	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39423	1	OK	0.9135021	-0.2673844	-0.2870528	-0.1077973	-69.947	106.460	-930.138	0.5192584	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39426	1	OK	0.9135441	-0.2673149	-0.2869539	-0.1078764	-69.957	106.456	-930.129	0.5113598	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39429	1	OK	0.9134465	-0.2674564	-0.2871800	-0.1077512	-69.954	106.470	-930.163	0.5108736	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39432	1	OK	0.9135812	-0.2672577	-0.2868902	-0.1078732	-69.953	106.457	-930.166	0.5137731	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39435	1	OK	0.9134642	-0.2672194	-0.2872624	-0.1079690	-69.968	106.459	-930.143	0.5126218	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39438	1	OK	0.9134699	-0.2675634	-0.2870563	-0.1076165	-69.945	106.473	-930.151	0.5192221	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39441	1	OK	0.9134849	-0.2673482	-0.2871282	-0.1078317	-69.953	106.458	-930.120	0.5115526	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39444	1	OK	0.9135243	-0.2673258	-0.2870264	-0.1078242	-69.956	106.469	-930.189	0.5123468	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39447	1	OK	0.9135464	-0.2672138	-0.2870093	-0.1079598	-69.954	106.454	-930.156	0.5064836	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39450	1	OK	0.9135642	-0.2674122	-0.2868266	-0.1078041	-69.955	106.457	-930.143	0.5094381	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39453	1	OK	0.9135043	-0.2673197	-0.2870683	-0.1078972	-69.950	106.459	-930.133	0.5202242	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39456	1	OK	0.9134809	-0.2677170	-0.2869108	-0.1075294	-69.946	106.475	-930.146	0.5147385	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39459	1	OK	0.9134413	-0.2673989	-0.2872273	-0.1078112	-69.954	106.465	-930.128	0.5056204	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39462	1	OK	0.9134939	-0.2674443	-0.2870603	-0.1076982	-69.951	106.476	-930.182	0.5092376	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39465	1	OK	0.9134652	-0.2673775	-0.2871726	-0.1078075	-69.955	106.465	-930.129	0.5078534	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39468	1	OK	0.9135220	-0.2672538	-0.2870543	-0.1079482	-69.960	106.457	-930.139	0.5108162	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	39471	1	OK	0.9135558	-0.2675530	-0.2867720	-0.1076710	-69.950	106.469	-930.185	0.5243713	0
