Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46083	1	OK	0.9930314	0.1100105	-0.0359933	0.0221535	29.840	44.711	-798.929	0.1573270	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46086	1	OK	0.9930186	0.1100917	-0.0360832	0.0221783	29.843	44.712	-798.920	0.1626618	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46089	1	OK	0.9930049	0.1101169	-0.0363813	0.0221809	29.854	44.711	-798.863	0.1521028	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46092	1	OK	0.9930182	0.1101015	-0.0360736	0.0221644	29.843	44.711	-798.908	0.1634913	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46095	1	OK	0.9930152	0.1100665	-0.0362702	0.0221494	29.852	44.709	-798.882	0.1540772	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46098	1	OK	0.9930208	0.1100680	-0.0361262	0.0221259	29.846	44.709	-798.900	0.1567845	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46101	1	OK	0.9930241	0.1100126	-0.0361510	0.0222128	29.849	44.712	-798.898	0.1596847	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46104	1	OK	0.9930218	0.1100641	-0.0361023	0.0221432	29.845	44.710	-798.894	0.1467908	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46107	1	OK	0.9930186	0.1100993	-0.0360817	0.0221435	29.846	44.712	-798.917	0.1551314	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46110	1	OK	0.9930229	0.1100209	-0.0361762	0.0221844	29.848	44.709	-798.899	0.1572704	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46113	1	OK	0.9930194	0.1100308	-0.0362402	0.0221887	29.848	44.712	-798.882	0.1461493	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46116	1	OK	0.9930081	0.1101279	-0.0362811	0.0221472	29.852	44.712	-798.890	0.1517745	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46119	1	OK	0.9930233	0.1099904	-0.0362503	0.0221981	29.849	44.706	-798.867	0.1575504	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46122	1	OK	0.9930201	0.1100578	-0.0361407	0.0221872	29.845	44.713	-798.901	0.1526161	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46125	1	OK	0.9930177	0.1100794	-0.0361699	0.0221369	29.845	44.710	-798.889	0.1461246	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46128	1	OK	0.9930183	0.1101005	-0.0360911	0.0221375	29.846	44.712	-798.920	0.1568471	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46131	1	OK	0.9930199	0.1100793	-0.0361052	0.0221467	29.848	44.712	-798.904	0.1605062	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46134	1	OK	0.9930260	0.1100437	-0.0360438	0.0221513	29.843	44.710	-798.918	0.1727944	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46137	1	OK	0.9930166	0.1101011	-0.0361434	0.0221216	29.849	44.710	-798.914	0.1456949	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46140	1	OK	0.9930318	0.1099655	-0.0361121	0.0221652	29.847	44.707	-798.900	0.1601593	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46143	1	OK	0.9930430	0.1098444	-0.0361690	0.0221737	29.847	44.704	-798.908	0.1855913	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46146	1	OK	0.9930400	0.1099429	-0.0359707	0.0221429	29.838	44.708	-798.928	0.1748982	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46149	1	OK	0.9930214	0.1100400	-0.0361651	0.0221754	29.846	44.710	-798.894	0.1568439	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46152	1	OK	0.9930395	0.1099158	-0.0360645	0.0221460	29.843	44.706	-798.920	0.1598273	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46155	1	OK	0.9930358	0.1098878	-0.0362266	0.0221872	29.845	44.707	-798.890	0.1636393	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46158	1	OK	0.9930185	0.1101236	-0.0360070	0.0221497	29.842	44.713	-798.902	0.1612983	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46161	1	OK	0.9930240	0.1100443	-0.0360875	0.0221660	29.841	44.711	-798.888	0.1647116	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	46164	1	OK	0.9930474	0.1099066	-0.0358548	0.0221770	29.834	44.710	-798.928	0.1649603	0
