Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152680	1	OK	0.5663396	0.6176252	0.0282061	-0.5449799	-87.054	-108.647	-274.394	0.0749855	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152688	1	OK	0.5662642	0.6176159	0.0282945	-0.5450641	-87.052	-108.649	-274.380	0.0767249	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152696	1	OK	0.5662126	0.6175986	0.0283492	-0.5451345	-87.063	-108.650	-274.396	0.0773391	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152704	1	OK	0.5661743	0.6175835	0.0283939	-0.5451890	-87.065	-108.655	-274.396	0.0784125	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152712	1	OK	0.5661136	0.6175641	0.0284461	-0.5452714	-87.065	-108.660	-274.380	0.0826278	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152720	1	OK	0.5661177	0.6175489	0.0284542	-0.5452839	-87.054	-108.660	-274.370	0.0829057	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152728	1	OK	0.5660928	0.6175600	0.0284500	-0.5452974	-87.056	-108.655	-274.376	0.0813303	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152736	1	OK	0.5659913	0.6175537	0.0285628	-0.5454039	-87.049	-108.656	-274.368	0.0833712	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152744	1	OK	0.5659324	0.6175407	0.0286363	-0.5454759	-87.052	-108.658	-274.363	0.0851940	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152752	1	OK	0.5660200	0.6175340	0.0285395	-0.5453976	-87.072	-108.657	-274.380	0.0856488	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152760	1	OK	0.5660430	0.6175196	0.0285216	-0.5453910	-87.078	-108.658	-274.391	0.0841033	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152768	1	OK	0.5661098	0.6175202	0.0284544	-0.5453245	-87.075	-108.663	-274.395	0.0823685	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152776	1	OK	0.5661115	0.6175148	0.0284722	-0.5453279	-87.059	-108.668	-274.362	0.0819212	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152784	1	OK	0.5661720	0.6175547	0.0283934	-0.5452240	-87.043	-108.660	-274.353	0.0787250	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152792	1	OK	0.5662291	0.6175465	0.0283483	-0.5451765	-87.051	-108.662	-274.359	0.0749764	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152800	1	OK	0.5662195	0.6175854	0.0283296	-0.5451432	-87.038	-108.656	-274.357	0.0746121	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152808	1	OK	0.5662981	0.6175729	0.0282718	-0.5450788	-87.029	-108.665	-274.343	0.0744428	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	152816	1	OK	0.5663976	0.6175883	0.0281595	-0.5449637	-87.025	-108.670	-274.359	0.0712647	0
