Tools	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126600	1	OK	0.4173207	-0.2851662	0.5156680	-0.6918166	55.215	-54.058	-280.969	0.1175591	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126608	1	OK	0.4173810	-0.2851669	0.5157192	-0.6917418	55.200	-54.064	-280.956	0.1180417	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126616	1	OK	0.4173725	-0.2851802	0.5157473	-0.6917204	55.192	-54.063	-280.970	0.1191533	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126624	1	OK	0.4174128	-0.2851565	0.5157511	-0.6917031	55.194	-54.066	-280.966	0.1192835	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126632	1	OK	0.4174105	-0.2851590	0.5157834	-0.6916794	55.189	-54.057	-280.968	0.1184241	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126640	1	OK	0.4175257	-0.2850825	0.5157821	-0.6916423	55.209	-54.062	-280.998	0.1177301	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126648	1	OK	0.4175440	-0.2850514	0.5157872	-0.6916403	55.216	-54.063	-281.014	0.1175364	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126656	1	OK	0.4173874	-0.2851469	0.5157245	-0.6917421	55.216	-54.063	-281.020	0.1173304	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126664	1	OK	0.4173683	-0.2851828	0.5157141	-0.6917467	55.220	-54.047	-281.008	0.1174798	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126672	1	OK	0.4173944	-0.2851691	0.5157798	-0.6916875	55.204	-54.034	-281.007	0.1170258	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126680	1	OK	0.4173240	-0.2852480	0.5157965	-0.6916851	55.188	-54.030	-281.010	0.1166605	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126688	1	OK	0.4172913	-0.2852690	0.5157704	-0.6917156	55.192	-54.027	-281.018	0.1161991	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126696	1	OK	0.4172989	-0.2852568	0.5157461	-0.6917342	55.201	-54.024	-281.006	0.1160542	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126704	1	OK	0.4173936	-0.2851933	0.5157797	-0.6916782	55.201	-54.028	-281.014	0.1166902	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126712	1	OK	0.4173905	-0.2852260	0.5157581	-0.6916826	55.199	-54.038	-281.024	0.1181398	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126720	1	OK	0.4172934	-0.2852721	0.5157355	-0.6917391	55.199	-54.032	-281.007	0.1172034	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126728	1	OK	0.4173239	-0.2852647	0.5157236	-0.6917326	55.202	-54.027	-281.003	0.1176179	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126736	1	OK	0.4174093	-0.2852079	0.5157112	-0.6917137	55.215	-54.033	-280.988	0.1178357	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126744	1	OK	0.4173537	-0.2852264	0.5156836	-0.6917603	55.218	-54.039	-280.985	0.1182075	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126752	1	OK	0.4173239	-0.2852548	0.5156361	-0.6918019	55.234	-54.038	-280.988	0.1187642	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126760	1	OK	0.4173540	-0.2852142	0.5156295	-0.6918054	55.241	-54.046	-280.989	0.1190204	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126768	1	OK	0.4172440	-0.2852803	0.5156032	-0.6918641	55.240	-54.044	-280.996	0.1187150	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126776	1	OK	0.4171509	-0.2853297	0.5155629	-0.6919299	55.244	-54.043	-280.999	0.1179014	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126784	1	OK	0.4170668	-0.2853899	0.5155677	-0.6919522	55.231	-54.038	-280.982	0.1176588	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126792	1	OK	0.4170472	-0.2853758	0.5155731	-0.6919658	55.239	-54.043	-280.990	0.1166997	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126800	1	OK	0.4170063	-0.2854156	0.5155629	-0.6919816	55.232	-54.049	-281.006	0.1168995	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126808	1	OK	0.4168876	-0.2855100	0.5155634	-0.6920138	55.215	-54.044	-281.003	0.1166705	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126816	1	OK	0.4170267	-0.2854343	0.5156778	-0.6918760	55.197	-54.035	-281.012	0.1172215	0
