Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57564	1	OK	-0.4203337	0.4376862	0.4572376	0.6501416	165.633	138.695	-1040.225	0.4961078	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57567	1	OK	-0.4207522	0.4373219	0.4567131	0.6504847	165.644	138.665	-1040.294	0.5165355	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57570	1	OK	-0.4203543	0.4373467	0.4571581	0.6504126	165.622	138.682	-1040.264	0.4921692	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57573	1	OK	-0.4204982	0.4379609	0.4571353	0.6499222	165.656	138.703	-1040.258	0.4862276	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57576	1	OK	-0.4207732	0.4376607	0.4567669	0.6502054	165.646	138.671	-1040.240	0.5105935	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57579	1	OK	-0.4206507	0.4379444	0.4569272	0.6499810	165.656	138.695	-1040.266	0.4857214	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57582	1	OK	-0.4202784	0.4373128	0.4572280	0.6504354	165.611	138.687	-1040.271	0.5120979	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57585	1	OK	-0.4209958	0.4370872	0.4564939	0.6506386	165.630	138.646	-1040.298	0.5225124	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57588	1	OK	-0.4206771	0.4378580	0.4568851	0.6500516	165.656	138.693	-1040.285	0.4951508	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	57591	1	OK	-0.4206314	0.4373433	0.4568377	0.6504610	165.630	138.675	-1040.305	0.5163747	0
