Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275680	1	OK	0.6585581	0.5834953	0.2663430	-0.3935680	-47.310	-22.492	-385.741	0.0833076	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275688	1	OK	0.6583240	0.5834256	0.2670480	-0.3935854	-46.917	-22.440	-385.928	0.0824581	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275696	1	OK	0.6580789	0.5834196	0.2677441	-0.3935312	-46.456	-22.392	-386.226	0.0778149	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275704	1	OK	0.6598244	0.5841779	0.2690281	-0.3885765	-42.433	-22.670	-388.899	0.1044210	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275712	1	OK	0.6598775	0.5836922	0.2706795	-0.3880692	-41.119	-22.808	-389.278	0.0889151	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275720	1	OK	0.6599221	0.5822287	0.2733860	-0.3882945	-40.177	-22.991	-389.709	0.0854387	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275728	1	OK	0.6597273	0.5825219	0.2747895	-0.3871936	-38.698	-22.609	-389.724	0.0953218	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275736	1	OK	0.6604051	0.5814590	0.2763361	-0.3865345	-37.828	-22.997	-390.556	0.0647776	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275744	1	OK	0.6607250	0.5815606	0.2775016	-0.3849968	-37.163	-23.073	-391.299	0.0853696	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275752	1	OK	0.6593337	0.5809448	0.2804442	-0.3861779	-37.215	-22.955	-392.336	0.0765040	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275760	1	OK	0.6591474	0.5812001	0.2812375	-0.3855342	-37.625	-22.877	-393.582	0.1134063	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275768	1	OK	0.6580534	0.5802006	0.2839324	-0.3869307	-38.294	-22.735	-395.099	0.0882683	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275776	1	OK	0.6571517	0.5807824	0.2856062	-0.3863580	-38.508	-22.179	-396.491	0.0428061	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275784	1	OK	0.6567832	0.5815950	0.2863474	-0.3852120	-38.402	-21.826	-398.122	0.0858633	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	275792	1	OK	0.6569554	0.5822827	0.2870041	-0.3833863	-38.229	-21.741	-399.813	0.1189449	0
