Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653616	1	OK	0.2781728	-0.6607528	-0.2562171	-0.6483660	-86.926	-67.145	-253.152	0.0972100	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653624	1	OK	0.2781254	-0.6607686	-0.2561369	-0.6484019	-86.931	-67.145	-253.152	0.0980805	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653632	1	OK	0.2780997	-0.6607546	-0.2560558	-0.6484592	-86.931	-67.131	-253.149	0.0979917	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653640	1	OK	0.2779429	-0.6607242	-0.2558754	-0.6486286	-86.922	-67.132	-253.145	0.0999969	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653648	1	OK	0.2778709	-0.6607286	-0.2558104	-0.6486806	-86.922	-67.135	-253.156	0.1013194	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653656	1	OK	0.2778498	-0.6607304	-0.2557610	-0.6487072	-86.923	-67.133	-253.152	0.1013497	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653664	1	OK	0.2778873	-0.6607486	-0.2558173	-0.6486505	-86.926	-67.134	-253.146	0.1002701	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653672	1	OK	0.2779220	-0.6607437	-0.2557520	-0.6486664	-86.928	-67.120	-253.144	0.1008348	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653680	1	OK	0.2778916	-0.6607316	-0.2556845	-0.6487183	-86.929	-67.111	-253.153	0.1014643	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653688	1	OK	0.2778935	-0.6607230	-0.2557275	-0.6487093	-86.926	-67.114	-253.155	0.1011391	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653696	1	OK	0.2778828	-0.6607379	-0.2556918	-0.6487128	-86.934	-67.114	-253.158	0.1011108	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653704	1	OK	0.2779617	-0.6607405	-0.2558369	-0.6486191	-86.934	-67.117	-253.156	0.0991509	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653712	1	OK	0.2778444	-0.6607357	-0.2557337	-0.6487150	-86.926	-67.123	-253.162	0.1005978	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653720	1	OK	0.2778911	-0.6607390	-0.2557901	-0.6486694	-86.928	-67.121	-253.166	0.0996365	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653728	1	OK	0.2778449	-0.6607442	-0.2557164	-0.6487129	-86.932	-67.119	-253.159	0.1001678	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653736	1	OK	0.2779111	-0.6607377	-0.2557554	-0.6486758	-86.931	-67.115	-253.165	0.1000012	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653744	1	OK	0.2779269	-0.6607081	-0.2557191	-0.6487135	-86.928	-67.110	-253.165	0.1008109	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653752	1	OK	0.2780726	-0.6607457	-0.2559733	-0.6485125	-86.930	-67.124	-253.163	0.0986486	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	653760	1	OK	0.2780972	-0.6607513	-0.2559851	-0.6484916	-86.928	-67.126	-253.158	0.0986634	0
