Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11560	1	OK	0.1399258	-0.8523801	-0.2472556	-0.4390143	61.227	22.247	-258.415	0.1265650	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11560	1	OK	0.6938429	-0.5196175	-0.4865378	-0.1089066	41.798	36.939	-253.821	0.1341168	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11568	1	OK	0.1399375	-0.8523944	-0.2472413	-0.4389909	61.219	22.248	-258.404	0.1277418	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11568	1	OK	0.6938131	-0.5196375	-0.4865553	-0.1089230	41.799	36.939	-253.815	0.1335450	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11576	1	OK	0.1399151	-0.8524016	-0.2471961	-0.4390094	61.215	22.254	-258.410	0.1283201	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11576	1	OK	0.6938383	-0.5195968	-0.4865618	-0.1089278	41.797	36.942	-253.815	0.1337197	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11584	1	OK	0.1398974	-0.8524088	-0.2471840	-0.4390080	61.215	22.254	-258.417	0.1293039	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11584	1	OK	0.6938614	-0.5195813	-0.4865553	-0.1088835	41.797	36.937	-253.820	0.1341958	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11592	1	OK	0.1399209	-0.8523823	-0.2472172	-0.4390332	61.219	22.250	-258.425	0.1275638	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11592	1	OK	0.6938925	-0.5195370	-0.4865560	-0.1088933	41.798	36.941	-253.813	0.1334748	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11600	1	OK	0.1399150	-0.8523892	-0.2472293	-0.4390149	61.220	22.251	-258.420	0.1274354	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11600	1	OK	0.6939172	-0.5194436	-0.4866101	-0.1089399	41.805	36.955	-253.807	0.1323537	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11608	1	OK	0.1399568	-0.8523882	-0.2472252	-0.4390059	61.217	22.259	-258.417	0.1272847	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11608	1	OK	0.6938916	-0.5194121	-0.4866686	-0.1089923	41.811	36.959	-253.807	0.1318737	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11616	1	OK	0.1399482	-0.8523852	-0.2471978	-0.4390299	61.216	22.264	-258.418	0.1270467	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11616	1	OK	0.6938967	-0.5194373	-0.4866414	-0.1089605	41.811	36.959	-253.806	0.1323545	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11624	1	OK	0.1399498	-0.8523992	-0.2472123	-0.4389940	61.210	22.261	-258.428	0.1274253	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11624	1	OK	0.6938243	-0.5194807	-0.4866889	-0.1090024	41.820	36.953	-253.804	0.1316241	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11632	1	OK	0.1399258	-0.8523872	-0.2472314	-0.4390142	61.215	22.253	-258.444	0.1266072	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11632	1	OK	0.6938303	-0.5194795	-0.4866855	-0.1089855	41.823	36.952	-253.815	0.1319300	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11640	1	OK	0.1399976	-0.8523635	-0.2472406	-0.4390322	61.221	22.261	-258.443	0.1263253	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11640	1	OK	0.6938242	-0.5195218	-0.4866524	-0.1089700	41.818	36.948	-253.813	0.1318668	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11648	1	OK	0.1399884	-0.8523581	-0.2472243	-0.4390546	61.224	22.266	-258.435	0.1258327	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11648	1	OK	0.6938083	-0.5195484	-0.4866497	-0.1089572	41.818	36.945	-253.814	0.1317297	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11656	1	OK	0.1400330	-0.8523416	-0.2472755	-0.4390437	61.227	22.266	-258.431	0.1255693	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11656	1	OK	0.6937578	-0.5196046	-0.4866606	-0.1089615	41.820	36.937	-253.813	0.1311754	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11664	1	OK	0.1400101	-0.8523406	-0.2472653	-0.4390587	61.228	22.262	-258.425	0.1262090	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11664	1	OK	0.6936755	-0.5196377	-0.4867180	-0.1090711	41.826	36.942	-253.802	0.1305268	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11672	1	OK	0.1399920	-0.8523494	-0.2472354	-0.4390643	61.227	22.265	-258.426	0.1269309	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11672	1	OK	0.6936578	-0.5196486	-0.4867302	-0.1090774	41.829	36.944	-253.805	0.1302132	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11680	1	OK	0.1399528	-0.8523533	-0.2472041	-0.4390868	61.227	22.266	-258.433	0.1275329	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11680	1	OK	0.6936372	-0.5197393	-0.4866715	-0.1090382	41.821	36.933	-253.813	0.1312089	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11688	1	OK	0.1399252	-0.8523396	-0.2472134	-0.4391168	61.232	22.261	-258.433	0.1280996	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11688	1	OK	0.6936647	-0.5197703	-0.4866116	-0.1089824	41.815	36.928	-253.815	0.1312902	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11696	1	OK	0.1399841	-0.8523366	-0.2472339	-0.4390925	61.232	22.263	-258.424	0.1277481	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11696	1	OK	0.6936064	-0.5197754	-0.4866760	-0.1090419	41.820	36.927	-253.810	0.1311515	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11704	1	OK	0.1399824	-0.8523372	-0.2471969	-0.4391126	61.233	22.269	-258.418	0.1279182	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11704	1	OK	0.6936734	-0.5197352	-0.4866325	-0.1090017	41.813	36.932	-253.813	0.1313586	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11712	1	OK	0.1400391	-0.8523252	-0.2472052	-0.4391132	61.236	22.277	-258.403	0.1276795	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11712	1	OK	0.6936842	-0.5197280	-0.4866235	-0.1090072	41.810	36.936	-253.809	0.1310358	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11720	1	OK	0.1400011	-0.8523335	-0.2471888	-0.4391184	61.234	22.275	-258.401	0.1286972	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11720	1	OK	0.6936555	-0.5197322	-0.4866536	-0.1090357	41.814	36.938	-253.812	0.1318832	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11728	1	OK	0.1400727	-0.8523191	-0.2472364	-0.4390968	61.238	22.276	-258.402	0.1281925	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11728	1	OK	0.6936846	-0.5197022	-0.4866430	-0.1090408	41.813	36.941	-253.814	0.1319978	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11736	1	OK	0.1401355	-0.8523153	-0.2472420	-0.4390810	61.238	22.279	-258.394	0.1278552	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11736	1	OK	0.6937696	-0.5196480	-0.4865920	-0.1089855	41.812	36.949	-253.812	0.1315013	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11744	1	OK	0.1401111	-0.8523352	-0.2472384	-0.4390522	61.234	22.279	-258.403	0.1278360	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11744	1	OK	0.6938466	-0.5196284	-0.4865250	-0.1088884	41.806	36.942	-253.814	0.1318653	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11752	1	OK	0.1400769	-0.8523504	-0.2472291	-0.4390387	61.229	22.276	-258.408	0.1283760	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11752	1	OK	0.6938697	-0.5196295	-0.4864948	-0.1088707	41.799	36.940	-253.818	0.1326846	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11760	1	OK	0.1401237	-0.8523487	-0.2472564	-0.4390118	61.228	22.276	-258.404	0.1285428	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11760	1	OK	0.6938644	-0.5196169	-0.4865100	-0.1088963	41.801	36.944	-253.809	0.1330167	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11768	1	OK	0.1400881	-0.8523523	-0.2472336	-0.4390289	61.230	22.277	-258.406	0.1283857	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11768	1	OK	0.6938565	-0.5196098	-0.4865267	-0.1089065	41.800	36.947	-253.809	0.1327277	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11776	1	OK	0.1400450	-0.8523632	-0.2472297	-0.4390238	61.229	22.271	-258.421	0.1279155	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11776	1	OK	0.6939247	-0.5195686	-0.4864787	-0.1088826	41.794	36.952	-253.815	0.1325482	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	11784	1	OK	0.1400353	-0.8523551	-0.2472600	-0.4390256	61.232	22.263	-258.420	0.1270758	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	11784	1	OK	0.6939061	-0.5195923	-0.4864773	-0.1088939	41.798	36.949	-253.811	0.1326491	0
