Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524720	1	OK	0.2046798	-0.6760227	-0.1634999	-0.6887433	-76.492	-261.150	-251.088	0.6076866	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524728	1	OK	0.2045422	-0.6761187	-0.1635810	-0.6886707	-76.510	-261.172	-251.068	0.6067706	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524736	1	OK	0.2043286	-0.6763020	-0.1635694	-0.6885568	-76.547	-261.186	-251.036	0.6070465	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524744	1	OK	0.2042058	-0.6763798	-0.1635695	-0.6885168	-76.550	-261.198	-251.035	0.6062908	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524752	1	OK	0.2041465	-0.6764010	-0.1634378	-0.6885448	-76.563	-261.178	-251.031	0.6088219	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524760	1	OK	0.2042466	-0.6763078	-0.1634877	-0.6885948	-76.549	-261.173	-251.040	0.6090998	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524768	1	OK	0.2046184	-0.6764262	-0.1640092	-0.6882440	-76.548	-261.194	-251.055	0.5971457	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524776	1	OK	0.2043417	-0.6763642	-0.1636797	-0.6884656	-76.516	-261.177	-251.041	0.6017416	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524784	1	OK	0.2039068	-0.6763599	-0.1632465	-0.6887016	-76.557	-261.187	-251.009	0.6113865	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524792	1	OK	0.2037824	-0.6762537	-0.1630285	-0.6888943	-76.497	-261.161	-251.000	0.6137603	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524800	1	OK	0.2036757	-0.6761994	-0.1628623	-0.6890185	-76.500	-261.148	-250.982	0.6170906	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	524808	1	OK	0.2034230	-0.6761963	-0.1626129	-0.6891551	-76.526	-261.159	-250.976	0.6232497	0
