Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201824	1	OK	0.3023506	-0.6249615	-0.2373110	-0.6794783	14.985	-269.511	-469.299	0.7971809	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201832	1	OK	0.3016346	-0.6254633	-0.2368358	-0.6795006	15.004	-269.429	-468.949	0.7820874	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201840	1	OK	0.3021174	-0.6255327	-0.2367822	-0.6792409	14.809	-269.484	-469.221	0.7879874	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201848	1	OK	0.3014031	-0.6265856	-0.2353256	-0.6790939	14.582	-269.410	-469.196	0.7742435	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201864	1	OK	0.3010888	-0.6257641	-0.2358639	-0.6798037	15.016	-269.389	-469.039	0.7634962	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201872	1	OK	0.3021279	-0.6235748	-0.2373296	-0.6808435	15.609	-269.389	-469.260	0.7745212	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201880	1	OK	0.3022649	-0.6237243	-0.2372939	-0.6806582	15.545	-269.351	-469.139	0.7836804	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201888	1	OK	0.3026354	-0.6239561	-0.2378481	-0.6800874	15.371	-269.574	-469.318	0.8022735	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201904	1	OK	0.3036558	-0.6239438	-0.2389509	-0.6792568	15.076	-269.742	-469.429	0.8485922	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201912	1	OK	0.3039725	-0.6221558	-0.2402419	-0.6802990	15.764	-269.710	-469.297	0.8392516	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201920	1	OK	0.3049723	-0.6204579	-0.2414383	-0.6809783	16.183	-269.509	-469.292	0.8478391	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201928	1	OK	0.3044997	-0.6209712	-0.2413085	-0.6807678	16.030	-269.643	-469.245	0.8457651	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201944	1	OK	0.3032518	-0.6214958	-0.2403063	-0.6812006	16.044	-269.652	-469.235	0.8140988	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201952	1	OK	0.3030653	-0.6222193	-0.2402412	-0.6806458	15.785	-269.849	-469.361	0.8219187	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201968	1	OK	0.3024071	-0.6228272	-0.2397050	-0.6805717	15.687	-269.865	-469.272	0.8135085	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201976	1	OK	0.3025045	-0.6225055	-0.2401458	-0.6806672	15.842	-269.895	-469.289	0.8119912	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201984	1	OK	0.3037770	-0.6210992	-0.2419405	-0.6807496	16.076	-269.987	-469.306	0.8375398	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	201992	1	OK	0.3034965	-0.6221995	-0.2407083	-0.6803066	15.715	-269.946	-469.470	0.8315759	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	202000	1	OK	0.3028161	-0.6230259	-0.2394895	-0.6802837	15.567	-269.873	-469.368	0.8215727	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	202008	1	OK	0.3027743	-0.6231481	-0.2396082	-0.6801486	15.494	-269.950	-469.365	0.8288028	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	202016	1	OK	0.3036898	-0.6233719	-0.2402685	-0.6793019	15.236	-270.108	-469.518	0.8680706	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	202032	1	OK	0.3038922	-0.6232576	-0.2400194	-0.6794043	15.342	-270.049	-469.525	0.8684659	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	202040	1	OK	0.3046672	-0.6221923	-0.2399541	-0.6800564	15.629	-269.701	-469.553	0.8655223	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	202048	1	OK	0.3059466	-0.6214635	-0.2408336	-0.6798375	15.576	-269.672	-469.798	0.8948113	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	202064	1	OK	0.3067887	-0.6219804	-0.2391357	-0.6795846	15.132	-269.386	-470.263	0.9304768	0
