Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403328	1	OK	0.2117846	-0.6808425	-0.2372880	-0.6597690	-97.226	248.636	-259.491	0.3887654	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403336	1	OK	0.2119657	-0.6808996	-0.2376101	-0.6595360	-97.237	248.618	-259.498	0.3880823	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403344	1	OK	0.2121520	-0.6809529	-0.2379548	-0.6592967	-97.244	248.591	-259.493	0.3886208	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403352	1	OK	0.2122885	-0.6809586	-0.2381489	-0.6591768	-97.243	248.586	-259.482	0.3892694	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403360	1	OK	0.2122225	-0.6809317	-0.2381237	-0.6592349	-97.234	248.585	-259.484	0.3890230	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403368	1	OK	0.2121783	-0.6809004	-0.2382192	-0.6592470	-97.227	248.581	-259.495	0.3916298	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403376	1	OK	0.2120247	-0.6808994	-0.2380542	-0.6593570	-97.232	248.572	-259.501	0.3928275	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403384	1	OK	0.2119284	-0.6808934	-0.2378353	-0.6594733	-97.229	248.581	-259.500	0.3913671	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403392	1	OK	0.2120950	-0.6808889	-0.2379858	-0.6593700	-97.227	248.597	-259.505	0.3916964	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403400	1	OK	0.2121969	-0.6809834	-0.2383038	-0.6591247	-97.247	248.570	-259.523	0.3919298	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403408	1	OK	0.2121829	-0.6810138	-0.2383707	-0.6590736	-97.255	248.547	-259.515	0.3924519	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403416	1	OK	0.2123689	-0.6810894	-0.2385584	-0.6588676	-97.264	248.540	-259.510	0.3921785	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403424	1	OK	0.2124374	-0.6811224	-0.2385920	-0.6587993	-97.268	248.545	-259.508	0.3911615	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403432	1	OK	0.2124261	-0.6810706	-0.2384574	-0.6589052	-97.259	248.565	-259.504	0.3910101	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403440	1	OK	0.2125508	-0.6810808	-0.2385874	-0.6588074	-97.256	248.562	-259.494	0.3910868	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403448	1	OK	0.2129004	-0.6810844	-0.2387775	-0.6586218	-97.252	248.579	-259.477	0.3899553	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	403456	1	OK	0.2130728	-0.6810792	-0.2389965	-0.6584921	-97.245	248.586	-259.478	0.3890437	0
