Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646408	1	OK	0.2937031	-0.6648291	-0.2702038	-0.6314513	-60.750	-147.537	-252.341	0.2160866	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646416	1	OK	0.2935765	-0.6648753	-0.2701398	-0.6314888	-60.754	-147.549	-252.341	0.2149801	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646424	1	OK	0.2935903	-0.6648340	-0.2701415	-0.6315252	-60.750	-147.543	-252.345	0.2146641	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646432	1	OK	0.2936556	-0.6648460	-0.2702499	-0.6314358	-60.745	-147.551	-252.342	0.2167227	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646440	1	OK	0.2935691	-0.6648640	-0.2702579	-0.6314536	-60.742	-147.563	-252.339	0.2161166	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646448	1	OK	0.2935833	-0.6649083	-0.2703201	-0.6313738	-60.745	-147.575	-252.340	0.2175020	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646456	1	OK	0.2935227	-0.6649145	-0.2702829	-0.6314114	-60.747	-147.576	-252.332	0.2166442	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646464	1	OK	0.2933491	-0.6649016	-0.2701476	-0.6315635	-60.745	-147.573	-252.334	0.2138651	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646472	1	OK	0.2932491	-0.6649003	-0.2700673	-0.6316456	-60.745	-147.571	-252.324	0.2109572	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646480	1	OK	0.2931571	-0.6648697	-0.2699828	-0.6317566	-60.740	-147.572	-252.326	0.2091580	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646488	1	OK	0.2931835	-0.6648344	-0.2699895	-0.6317787	-60.732	-147.565	-252.329	0.2098126	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646496	1	OK	0.2930189	-0.6649097	-0.2698917	-0.6318176	-60.743	-147.575	-252.325	0.2082547	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646504	1	OK	0.2930874	-0.6649004	-0.2699614	-0.6317659	-60.742	-147.579	-252.324	0.2088422	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646512	1	OK	0.2931318	-0.6648761	-0.2699504	-0.6317755	-60.741	-147.571	-252.325	0.2084556	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646520	1	OK	0.2931305	-0.6649005	-0.2699177	-0.6317644	-60.744	-147.567	-252.322	0.2089661	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646528	1	OK	0.2932268	-0.6648518	-0.2699886	-0.6317406	-60.738	-147.566	-252.321	0.2099033	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646536	1	OK	0.2932284	-0.6648335	-0.2699551	-0.6317735	-60.736	-147.557	-252.326	0.2096980	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646544	1	OK	0.2932146	-0.6648163	-0.2699477	-0.6318012	-60.732	-147.558	-252.326	0.2094613	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646552	1	OK	0.2932930	-0.6648777	-0.2699810	-0.6316860	-60.745	-147.557	-252.335	0.2110748	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646560	1	OK	0.2934611	-0.6648923	-0.2701380	-0.6315254	-60.750	-147.559	-252.335	0.2139203	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646568	1	OK	0.2934163	-0.6648503	-0.2701147	-0.6316004	-60.743	-147.557	-252.320	0.2126006	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646576	1	OK	0.2935110	-0.6648388	-0.2701891	-0.6315366	-60.739	-147.555	-252.325	0.2138008	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646584	1	OK	0.2933486	-0.6648658	-0.2700518	-0.6316423	-60.737	-147.553	-252.326	0.2124741	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646592	1	OK	0.2933105	-0.6648662	-0.2700355	-0.6316666	-60.740	-147.555	-252.326	0.2118693	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646600	1	OK	0.2934060	-0.6648797	-0.2701613	-0.6315542	-60.744	-147.564	-252.325	0.2128651	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646608	1	OK	0.2934119	-0.6648870	-0.2701130	-0.6315645	-60.748	-147.556	-252.330	0.2127210	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646616	1	OK	0.2934277	-0.6648549	-0.2701429	-0.6315782	-60.743	-147.558	-252.328	0.2126503	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646624	1	OK	0.2935507	-0.6648812	-0.2702600	-0.6314432	-60.752	-147.564	-252.332	0.2146815	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646632	1	OK	0.2936049	-0.6648448	-0.2703530	-0.6314165	-60.739	-147.568	-252.329	0.2159186	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646640	1	OK	0.2936051	-0.6648695	-0.2703121	-0.6314079	-60.747	-147.567	-252.324	0.2156300	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646648	1	OK	0.2934907	-0.6649632	-0.2702343	-0.6313958	-60.763	-147.576	-252.331	0.2147129	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646656	1	OK	0.2935886	-0.6649285	-0.2702652	-0.6313735	-60.762	-147.568	-252.334	0.2156442	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646664	1	OK	0.2936690	-0.6649307	-0.2703186	-0.6313109	-60.765	-147.569	-252.334	0.2161805	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646672	1	OK	0.2937577	-0.6649191	-0.2703724	-0.6312589	-60.762	-147.568	-252.344	0.2176834	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646680	1	OK	0.2936508	-0.6649315	-0.2702791	-0.6313355	-60.760	-147.565	-252.347	0.2167292	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	646688	1	OK	0.2935810	-0.6649246	-0.2702307	-0.6313959	-60.755	-147.571	-252.345	0.2156522	0
