Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559344	1	OK	0.3535806	-0.6188099	-0.3442343	-0.6111937	-156.391	-36.473	-252.941	0.1214067	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559352	1	OK	0.3535533	-0.6188349	-0.3442015	-0.6112028	-156.390	-36.477	-252.945	0.1217801	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559360	1	OK	0.3535819	-0.6188179	-0.3442162	-0.6111951	-156.392	-36.475	-252.947	0.1220775	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559368	1	OK	0.3536077	-0.6188117	-0.3443083	-0.6111346	-156.386	-36.483	-252.944	0.1225489	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559376	1	OK	0.3536102	-0.6188599	-0.3442224	-0.6111327	-156.398	-36.483	-252.937	0.1225088	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559384	1	OK	0.3536175	-0.6188633	-0.3441227	-0.6111812	-156.407	-36.475	-252.947	0.1218825	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559392	1	OK	0.3535992	-0.6188356	-0.3441003	-0.6112324	-156.395	-36.468	-252.942	0.1216364	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559400	1	OK	0.3536396	-0.6188449	-0.3441860	-0.6111514	-156.402	-36.477	-252.946	0.1206230	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559408	1	OK	0.3536286	-0.6188448	-0.3441188	-0.6111957	-156.404	-36.473	-252.945	0.1211093	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559416	1	OK	0.3535916	-0.6188576	-0.3440487	-0.6112436	-156.407	-36.474	-252.943	0.1215116	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559424	1	OK	0.3535819	-0.6188154	-0.3441146	-0.6112548	-156.387	-36.472	-252.934	0.1218198	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559432	1	OK	0.3536036	-0.6188050	-0.3442068	-0.6112009	-156.386	-36.478	-252.932	0.1203854	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559440	1	OK	0.3535333	-0.6188140	-0.3441445	-0.6112675	-156.384	-36.480	-252.931	0.1202041	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559448	1	OK	0.3535651	-0.6187746	-0.3441378	-0.6112928	-156.378	-36.471	-252.927	0.1200913	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559456	1	OK	0.3535777	-0.6187449	-0.3441878	-0.6112874	-156.371	-36.467	-252.929	0.1197144	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559464	1	OK	0.3535971	-0.6187426	-0.3443409	-0.6111923	-156.365	-36.480	-252.919	0.1194845	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559472	1	OK	0.3536966	-0.6187253	-0.3444642	-0.6110828	-156.369	-36.482	-252.922	0.1200990	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559480	1	OK	0.3536633	-0.6187193	-0.3444384	-0.6111226	-156.364	-36.479	-252.913	0.1200337	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559488	1	OK	0.3537475	-0.6187311	-0.3445787	-0.6109829	-156.372	-36.486	-252.912	0.1187734	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559496	1	OK	0.3537041	-0.6187714	-0.3445229	-0.6109986	-156.375	-36.484	-252.917	0.1187929	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559504	1	OK	0.3538108	-0.6187786	-0.3446151	-0.6108775	-156.386	-36.483	-252.912	0.1183916	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559512	1	OK	0.3538046	-0.6187838	-0.3445414	-0.6109174	-156.390	-36.480	-252.916	0.1194786	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559520	1	OK	0.3538410	-0.6187837	-0.3445224	-0.6109073	-156.387	-36.472	-252.913	0.1198674	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559528	1	OK	0.3537791	-0.6188052	-0.3444281	-0.6109745	-156.392	-36.471	-252.914	0.1196897	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559536	1	OK	0.3537399	-0.6188129	-0.3443390	-0.6110396	-156.396	-36.468	-252.915	0.1200053	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559544	1	OK	0.3536451	-0.6188443	-0.3441783	-0.6111532	-156.400	-36.464	-252.924	0.1204092	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559552	1	OK	0.3536263	-0.6188610	-0.3441858	-0.6111429	-156.407	-36.471	-252.924	0.1188497	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559560	1	OK	0.3536194	-0.6188444	-0.3441651	-0.6111754	-156.405	-36.467	-252.928	0.1188920	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559568	1	OK	0.3535622	-0.6188124	-0.3441318	-0.6112596	-156.390	-36.462	-252.925	0.1201173	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559576	1	OK	0.3535989	-0.6188077	-0.3442449	-0.6111794	-156.389	-36.469	-252.918	0.1197999	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559584	1	OK	0.3535095	-0.6188346	-0.3441368	-0.6112647	-156.389	-36.471	-252.922	0.1199964	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559592	1	OK	0.3534674	-0.6188425	-0.3441289	-0.6112856	-156.387	-36.475	-252.920	0.1192414	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559600	1	OK	0.3534680	-0.6188259	-0.3441684	-0.6112799	-156.389	-36.477	-252.919	0.1185571	0
1	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	559608	1	OK	0.3535353	-0.6187995	-0.3442354	-0.6112298	-156.388	-36.476	-252.922	0.1193637	0
